customerID,gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,CustomerSupportCalls,LatePayments,DataUsageGB,AvgSessionMinutes,SatisfactionScore,Churn
CUST00011,Male,0,Yes,Yes,50,No,No phone service,No,No,No,No,Yes,No internet service,No internet service,Month-to-month,Yes,Bank transfer (automatic),38.07,228.23,2,0,494.73,166.1,2,No
CUST00012,Male,0,No,No,21,Yes,Yes,DSL,No internet service,No,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check,48.8,8923.93,2,4,131.79,170.07,4,Yes
CUST00013,Male,1,Yes,Yes,59,Yes,No,Fiber optic,No internet service,Yes,Yes,No internet service,Yes,Yes,Two year,No,Credit card (automatic),106.04,6388.42,5,0,130.44,142.79,5,No
CUST00014,Male,0,Yes,No,1,No,No,Fiber optic,No,Yes,No,Yes,Yes,No,Month-to-month,Yes,Bank transfer (automatic),100.3,3360.39,0,0,75.51,112.25,2,Yes
CUST00015,Female,1,No,No,55,No,No,DSL,No,No internet service,No,No,Yes,Yes,One year,Yes,Electronic check,77.11,5214.6,2,0,409.35,109.96,4,No
CUST00016,Male,1,No,No,39,Yes,Yes,Fiber optic,No internet service,Yes,No internet service,Yes,No,Yes,Month-to-month,No,Bank transfer (automatic),55.87,8021.4,3,0,398.06,174.43,2,No
CUST00017,Female,0,No,No,27,Yes,Yes,Fiber optic,No,Yes,No internet service,No,No,Yes,One year,No,Electronic check,83.62,389.44,0,0,233.64,82.5,3,No
CUST00018,Female,0,No,No,2,Yes,No,Fiber optic,No internet service,No,No internet service,No internet service,No internet service,No internet service,One year,Yes,Bank transfer (automatic),37.25,2365.96,3,0,172.25,88.84,5,No
CUST00019,Female,0,No,No,62,Yes,Yes,DSL,No internet service,No,Yes,No,No internet service,No,One year,Yes,Mailed check,63.32,8533.63,1,0,111.34,167.79,4,No
CUST00020,Male,0,No,No,22,Yes,Yes,Fiber optic,Yes,Yes,Yes,No,No,Yes,Month-to-month,Yes,Mailed check,70.3,190.73,1,1,230.04,164.82,1,Yes
CUST00021,Female,0,No,No,54,Yes,Yes,No,Yes,No internet service,Yes,No,No,No,Month-to-month,Yes,Bank transfer (automatic),66.15,5250.81,1,1,404.76,57.84,1,No
CUST00022,Male,0,No,No,31,Yes,No phone service,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Credit card (automatic),61.87,4852.08,1,2,347.76,140.21,1,No
CUST00023,Female,0,No,No,27,Yes,Yes,No,No internet service,Yes,Yes,No,No,Yes,Month-to-month,Yes,Electronic check,57.56,8820.82,2,1,247.76,98.69,4,No
CUST00024,Female,0,Yes,No,7,Yes,No,No,No internet service,No internet service,No,No,Yes,No internet service,One year,Yes,Mailed check,77.82,3898.4,2,2,268.6,128.31,5,No
CUST00025,Female,0,Yes,Yes,2,No,Yes,No,No,Yes,No,No internet service,Yes,Yes,One year,Yes,Credit card (automatic),55.76,8783.17,3,3,285.82,99.54,2,Yes
CUST00026,Female,0,No,No,52,Yes,No phone service,No,Yes,No,Yes,No,No internet service,No,Month-to-month,No,Electronic check,78.97,154.41,2,0,381.3,70.72,2,No
CUST00027,Female,1,No,No,28,Yes,No,Fiber optic,Yes,No internet service,No,No,No,No internet service,One year,No,Bank transfer (automatic),71.99,3088.29,3,0,58.82,38.24,3,No
CUST00028,Female,0,Yes,No,58,Yes,No phone service,Fiber optic,No internet service,No internet service,Yes,No internet service,No,Yes,Month-to-month,Yes,Credit card (automatic),55.32,2458.22,3,2,260.03,61.35,5,No
CUST00029,Female,1,No,No,23,Yes,No,Fiber optic,No,No,No,No internet service,No internet service,Yes,Month-to-month,Yes,Electronic check,98.48,1358.74,2,3,110.25,19.58,1,No
CUST00030,Female,0,Yes,No,37,No,Yes,No,No,Yes,Yes,No,Yes,No,Two year,Yes,Mailed check,24.29,8962.63,0,1,453.47,51.69,5,No
CUST00031,Male,0,No,No,27,Yes,Yes,Fiber optic,No internet service,No,No internet service,No,No,No,Month-to-month,No,Electronic check,46.96,8750.69,2,3,458.69,84.2,5,Yes
CUST00032,Male,0,No,No,61,Yes,Yes,Fiber optic,No internet service,No internet service,No internet service,No internet service,Yes,No internet service,Month-to-month,No,Bank transfer (automatic),69.55,1339.14,3,2,98.26,91.88,2,No
CUST00033,Female,0,No,No,50,No,Yes,DSL,No,No,Yes,Yes,No,Yes,Month-to-month,Yes,Electronic check,111.28,4732.91,1,0,436.22,152.47,4,No
CUST00034,Female,0,Yes,No,6,No,Yes,No,No,No,No internet service,Yes,Yes,No,Two year,Yes,Mailed check,27.21,904.48,2,3,367.6,16.66,4,No
CUST00035,Female,0,No,No,22,Yes,Yes,Fiber optic,No,Yes,No,Yes,No,No internet service,Month-to-month,Yes,Electronic check,78.37,1158.31,5,0,253.19,15.11,5,No
CUST00036,Male,0,Yes,No,45,Yes,Yes,DSL,No,No,No,Yes,Yes,No,One year,No,Electronic check,37.01,6396.86,2,0,368.7,56.41,3,No
CUST00037,Female,0,Yes,Yes,27,Yes,Yes,Fiber optic,No,No internet service,No,No,No,No,One year,Yes,Electronic check,21.22,7809.97,2,3,38.47,13.83,3,Yes
CUST00038,Male,0,Yes,No,23,Yes,Yes,Fiber optic,Yes,No,No,No internet service,No internet service,No internet service,Two year,No,Credit card (automatic),106.67,5462.2,2,2,467.13,8.15,1,No
CUST00039,Male,0,No,No,6,No,Yes,DSL,No internet service,Yes,No,Yes,Yes,No,Month-to-month,Yes,Electronic check,107.66,1057.59,1,0,302.46,89.34,4,No
CUST00040,Male,0,Yes,No,48,Yes,No,DSL,No internet service,No,Yes,No,Yes,No internet service,Month-to-month,Yes,Bank transfer (automatic),47.49,7440.68,0,2,10.32,101.96,1,Yes
CUST00041,Male,0,Yes,No,2,Yes,Yes,DSL,No internet service,No,No,No,No internet service,Yes,One year,Yes,Mailed check,106.06,7775.86,4,0,192.08,48.63,5,No
CUST00042,Male,0,No,No,1,Yes,No,DSL,No,No,No,No,No,No,Month-to-month,No,Electronic check,57.71,5063.02,1,1,206.16,170.41,4,Yes
CUST00043,Female,0,No,No,6,Yes,Yes,Fiber optic,No,Yes,No,No,No,Yes,Month-to-month,Yes,Electronic check,24.73,3781.2,1,0,437.95,128.17,5,Yes
CUST00044,Female,0,No,No,20,Yes,No,No,Yes,Yes,No,No,No,No internet service,One year,No,Credit card (automatic),42.43,3699.9,0,2,363.77,18.65,4,No
CUST00045,Female,1,No,No,8,Yes,Yes,Fiber optic,No,No internet service,Yes,Yes,Yes,No,One year,Yes,Mailed check,85.06,5965.67,0,1,43.44,172.27,3,No
CUST00046,Female,0,Yes,No,11,Yes,No,Fiber optic,No,No,No internet service,Yes,No,No,Month-to-month,No,Bank transfer (automatic),40.62,8240.51,0,1,12.7,112.92,2,No
CUST00047,Female,0,No,No,23,No,No,No,No,No internet service,No internet service,No internet service,Yes,Yes,Two year,Yes,Mailed check,77.7,8174.13,2,0,19.17,30.79,1,No
CUST00048,Male,0,No,No,32,Yes,Yes,Fiber optic,Yes,No,Yes,Yes,No internet service,Yes,One year,Yes,Credit card (automatic),38.25,7076.31,1,2,17.39,20.44,3,No
CUST00049,Female,0,Yes,No,42,Yes,No,Fiber optic,No,No,No,Yes,No,Yes,Month-to-month,No,Electronic check,40.84,3217.86,1,1,163.78,25.45,1,Yes
CUST00050,Female,0,Yes,No,4,Yes,No,Fiber optic,No,Yes,No,No,Yes,No,Month-to-month,Yes,Bank transfer (automatic),87.55,3656.77,0,1,128.4,94.75,5,Yes
CUST00051,Male,0,Yes,No,70,Yes,No,Fiber optic,Yes,No,No,No internet service,No,Yes,Month-to-month,Yes,Credit card (automatic),107.01,6556.75,2,0,400.53,89.6,5,No
CUST00052,Female,0,Yes,Yes,13,Yes,No phone service,DSL,Yes,Yes,No,No,Yes,No,Two year,No,Bank transfer (automatic),94.82,6249.06,3,1,343.64,157.66,3,No
CUST00053,Male,0,No,No,35,Yes,No,No,No,No internet service,Yes,No,Yes,No,One year,Yes,Mailed check,25.8,8268.41,1,1,79.6,32.13,2,No
CUST00054,Female,0,No,No,34,Yes,No phone service,DSL,No,Yes,No,No,No,No,Month-to-month,Yes,Mailed check,112.3,7140.41,2,2,289.26,49.93,2,No
CUST00055,Male,0,No,No,49,Yes,Yes,Fiber optic,No,Yes,No,No internet service,Yes,No,One year,No,Electronic check,36.04,8808.36,1,2,470.69,141.29,2,No
CUST00056,Female,0,No,Yes,10,Yes,No,DSL,No,Yes,No,Yes,No,No internet service,One year,No,Credit card (automatic),92.74,2032.66,3,2,296.69,90.16,2,No
CUST00057,Female,0,Yes,No,23,Yes,Yes,Fiber optic,Yes,No,No,Yes,No internet service,Yes,One year,Yes,Electronic check,92.79,8307.34,2,0,227.96,114.32,2,No
CUST00058,Male,0,No,Yes,43,Yes,No phone service,Fiber optic,Yes,No internet service,No internet service,Yes,No internet service,No,Month-to-month,No,Bank transfer (automatic),65.15,8767.75,1,0,403.26,77.28,5,No
CUST00059,Male,0,Yes,No,50,Yes,Yes,DSL,Yes,Yes,No,Yes,No,Yes,Month-to-month,No,Bank transfer (automatic),76.4,8151.8,1,1,417.46,77.91,2,No
CUST00060,Male,0,No,No,16,Yes,No,DSL,Yes,No,Yes,Yes,No internet service,No,Month-to-month,Yes,Bank transfer (automatic),29.59,1313.38,2,2,191.02,176.18,1,No
CUST00061,Male,0,Yes,No,69,Yes,Yes,DSL,No internet service,Yes,Yes,No,Yes,No,Month-to-month,Yes,Mailed check,117.29,8475.69,0,3,89.77,169.0,2,No
CUST00062,Male,1,No,No,7,Yes,Yes,Fiber optic,Yes,No,No,No internet service,No,No,Month-to-month,Yes,Credit card (automatic),26.47,6832.21,0,1,412.16,121.8,3,No
CUST00063,Male,0,Yes,No,27,Yes,Yes,DSL,Yes,Yes,No,No,Yes,No,Month-to-month,Yes,Mailed check,111.01,3287.61,2,0,388.18,50.87,1,Yes
CUST00064,Male,0,Yes,Yes,11,Yes,No phone service,Fiber optic,Yes,No,No,Yes,Yes,Yes,Month-to-month,No,Electronic check,44.9,4125.32,2,1,342.3,143.3,3,No
CUST00065,Male,0,Yes,No,42,Yes,No,Fiber optic,No,No,No,No,No,Yes,One year,Yes,Bank transfer (automatic),59.14,631.45,0,0,227.06,101.29,4,No
CUST00066,Female,0,No,No,36,Yes,No,DSL,No,Yes,No internet service,No,Yes,No,Month-to-month,No,Credit card (automatic),95.78,3741.03,1,1,86.12,115.44,5,No
CUST00067,Female,0,No,No,62,Yes,No,DSL,Yes,No,Yes,No internet service,Yes,No,Month-to-month,No,Bank transfer (automatic),107.91,2263.69,0,2,388.7,111.85,4,No
CUST00068,Male,0,Yes,No,62,Yes,No phone service,No,Yes,No,No,No internet service,Yes,Yes,Two year,No,Electronic check,89.54,6488.5,3,1,106.31,11.14,4,No
CUST00069,Female,0,No,No,9,Yes,Yes,Fiber optic,No internet service,No,No,No,Yes,Yes,One year,Yes,Bank transfer (automatic),32.16,5106.03,3,2,128.24,34.19,3,No
CUST00070,Female,1,No,No,36,Yes,No phone service,DSL,No internet service,No,No internet service,No,Yes,No,Month-to-month,No,Mailed check,55.21,8409.59,1,0,82.42,74.17,4,Yes
CUST00071,Female,0,No,No,10,Yes,No,Fiber optic,No,No,No internet service,No,Yes,No internet service,Two year,No,Bank transfer (automatic),81.01,5589.97,1,2,441.38,15.88,4,No
CUST00072,Female,0,No,No,18,Yes,Yes,No,Yes,No,Yes,No internet service,Yes,No,Month-to-month,Yes,Mailed check,118.64,7012.05,5,1,244.25,127.12,5,Yes
CUST00073,Male,1,Yes,No,51,Yes,No,DSL,No,No internet service,No,Yes,No internet service,Yes,Month-to-month,Yes,Mailed check,60.52,7323.54,3,1,61.28,43.97,5,Yes
CUST00074,Female,1,Yes,Yes,17,No,No phone service,Fiber optic,No,No internet service,Yes,Yes,Yes,Yes,Month-to-month,Yes,Electronic check,50.25,652.5,5,2,382.1,168.43,2,No
CUST00075,Male,1,No,No,31,Yes,Yes,DSL,Yes,No,Yes,No,Yes,No,One year,Yes,Mailed check,48.04,7396.07,5,0,276.36,160.12,5,No
CUST00076,Female,0,No,No,22,Yes,Yes,DSL,No,No internet service,Yes,No,Yes,No,Two year,Yes,Credit card (automatic),105.4,1516.29,0,0,380.03,111.47,2,No
CUST00077,Female,0,No,Yes,11,Yes,No,Fiber optic,No,No internet service,No internet service,Yes,Yes,Yes,Month-to-month,No,Mailed check,37.06,2020.88,1,1,332.32,45.1,2,No
CUST00078,Female,0,No,Yes,57,Yes,Yes,Fiber optic,No,Yes,Yes,No,Yes,Yes,Month-to-month,No,Bank transfer (automatic),84.47,4540.58,0,2,383.36,116.94,5,No
CUST00079,Male,0,Yes,Yes,20,Yes,No,Fiber optic,No,No internet service,Yes,No,No,No,Month-to-month,Yes,Mailed check,104.83,4221.04,7,2,67.03,31.34,3,Yes
CUST00080,Female,0,No,No,20,Yes,No,Fiber optic,No,Yes,No,No,No internet service,Yes,Month-to-month,Yes,Credit card (automatic),105.33,8586.38,3,0,71.4,85.89,4,No
CUST00081,Male,0,Yes,No,28,Yes,No,Fiber optic,No,Yes,No,No,No,No,Two year,No,Mailed check,33.03,4044.21,2,0,251.56,58.61,2,No
CUST00082,Female,1,No,No,46,Yes,Yes,Fiber optic,No,No internet service,No,No,No internet service,No internet service,Month-to-month,Yes,Electronic check,99.32,3814.55,1,1,394.02,62.49,2,No
CUST00083,Male,0,Yes,Yes,11,Yes,No,DSL,No,Yes,Yes,No,No,No internet service,Month-to-month,Yes,Electronic check,111.95,7394.15,4,1,332.77,55.39,1,Yes
CUST00084,Female,1,No,No,57,No,No,Fiber optic,No,No,No,No internet service,Yes,No,Month-to-month,No,Credit card (automatic),98.27,2679.3,2,1,396.67,53.27,5,No
CUST00085,Male,0,No,No,40,Yes,Yes,DSL,No,No internet service,Yes,Yes,No,Yes,Month-to-month,Yes,Bank transfer (automatic),90.17,7201.73,0,1,182.02,91.47,5,Yes
CUST00086,Male,0,Yes,Yes,18,No,No,No,No internet service,Yes,No internet service,No,No,Yes,Month-to-month,Yes,Bank transfer (automatic),71.69,2246.77,5,2,18.0,66.23,4,No
CUST00087,Female,0,Yes,No,11,Yes,No,DSL,No,Yes,No internet service,No,Yes,Yes,One year,Yes,Electronic check,96.77,3676.49,2,2,57.96,48.82,1,Yes
CUST00088,Male,0,No,No,22,Yes,Yes,Fiber optic,No,No,Yes,Yes,No internet service,Yes,Month-to-month,Yes,Credit card (automatic),77.63,8223.62,2,3,146.1,44.35,4,Yes
CUST00089,Female,0,No,No,4,No,No,Fiber optic,No,No,No,Yes,No internet service,Yes,One year,No,Bank transfer (automatic),60.75,4281.83,1,2,460.1,142.16,3,No
CUST00090,Female,0,Yes,No,25,Yes,No,Fiber optic,No,No internet service,No internet service,No,No,Yes,Month-to-month,Yes,Bank transfer (automatic),69.38,8381.84,3,1,367.26,24.04,2,No
CUST00091,Female,1,No,Yes,62,Yes,Yes,No,No internet service,No internet service,Yes,No,Yes,No,Month-to-month,Yes,Mailed check,85.44,3433.23,1,0,301.51,71.24,2,No
CUST00092,Female,0,No,No,51,Yes,No,DSL,No,Yes,No,Yes,Yes,No,Month-to-month,Yes,Bank transfer (automatic),75.9,833.41,0,1,450.61,138.07,3,No
CUST00093,Female,0,Yes,Yes,9,Yes,Yes,Fiber optic,No,No,Yes,Yes,No,Yes,Month-to-month,Yes,Bank transfer (automatic),86.9,6878.52,3,2,2.91,37.41,4,No
CUST00094,Female,0,Yes,Yes,38,No,No,DSL,No,No,Yes,No,Yes,Yes,Month-to-month,No,Electronic check,118.17,2271.23,5,1,260.44,64.92,3,Yes
CUST00095,Female,0,No,No,22,Yes,No phone service,DSL,Yes,No,No internet service,No,Yes,No,Month-to-month,Yes,Mailed check,46.1,6749.7,3,1,351.48,8.84,5,Yes
CUST00096,Female,0,No,No,10,Yes,No,No,No,Yes,No,Yes,Yes,Yes,Two year,No,Bank transfer (automatic),119.57,5206.79,6,0,14.63,137.72,2,No
CUST00097,Female,0,No,Yes,71,Yes,Yes,DSL,Yes,Yes,No internet service,No internet service,No,Yes,Month-to-month,Yes,Electronic check,25.41,8772.7,8,0,362.75,142.32,1,No
CUST00098,Female,0,No,Yes,47,Yes,Yes,DSL,No,Yes,No,Yes,No,Yes,Month-to-month,Yes,Bank transfer (automatic),80.78,3861.55,0,2,329.72,102.12,3,No
CUST00099,Female,0,Yes,No,15,Yes,No,DSL,No,No internet service,Yes,Yes,No,No,Month-to-month,Yes,Electronic check,113.4,8058.31,7,0,305.41,117.19,2,No
CUST00100,Male,0,Yes,No,45,Yes,No,Fiber optic,No,No internet service,No,No,Yes,No,Month-to-month,No,Mailed check,30.25,6527.71,2,1,480.29,42.11,1,No
CUST00101,Male,0,Yes,No,46,Yes,No,No,Yes,Yes,No internet service,Yes,No internet service,No,Month-to-month,Yes,Bank transfer (automatic),119.02,1349.56,0,2,91.73,122.0,4,No
CUST00102,Female,0,Yes,No,47,Yes,No,DSL,No,Yes,Yes,Yes,No,Yes,Month-to-month,Yes,Credit card (automatic),111.85,6424.48,1,1,486.04,152.18,1,Yes
CUST00103,Female,0,No,Yes,68,Yes,No,Fiber optic,Yes,No,Yes,No,No,No,Month-to-month,Yes,Electronic check,105.41,5756.26,5,1,459.35,38.23,2,Yes
CUST00104,Female,0,No,No,24,Yes,No phone service,Fiber optic,No,No internet service,Yes,No internet service,No,Yes,Two year,Yes,Mailed check,72.7,8802.06,0,1,400.68,136.91,4,No
CUST00105,Female,0,Yes,Yes,36,Yes,No,DSL,No,No internet service,Yes,No,No,No,Month-to-month,No,Bank transfer (automatic),41.38,4140.99,4,2,459.77,120.34,2,No
CUST00106,Female,0,Yes,No,62,Yes,No,Fiber optic,No internet service,No,Yes,No,No internet service,No,Month-to-month,Yes,Credit card (automatic),28.92,5021.3,5,2,482.15,79.63,3,No
CUST00107,Female,1,No,Yes,28,Yes,Yes,Fiber optic,Yes,Yes,No internet service,No internet service,No,No,Month-to-month,Yes,Electronic check,26.47,6400.6,3,0,276.79,5.28,4,No
CUST00108,Female,0,No,No,57,Yes,Yes,Fiber optic,Yes,Yes,Yes,Yes,No,Yes,One year,Yes,Bank transfer (automatic),78.8,5492.2,3,1,210.69,149.28,3,No
CUST00109,Female,1,No,No,30,Yes,No,No,No internet service,No,No internet service,No,No,Yes,Month-to-month,No,Mailed check,90.23,5558.27,3,2,155.44,65.27,2,No
CUST00110,Male,1,No,No,67,Yes,Yes,DSL,Yes,No internet service,No,Yes,Yes,Yes,One year,Yes,Mailed check,42.06,4093.37,3,1,113.42,15.44,2,No
CUST00111,Female,0,No,Yes,40,Yes,Yes,DSL,No,Yes,No,No,Yes,No,Month-to-month,Yes,Bank transfer (automatic),68.93,6950.82,1,0,252.91,136.2,3,No
CUST00112,Male,0,No,No,49,Yes,No,No,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,72.87,135.11,2,3,390.55,164.96,5,Yes
CUST00113,Female,0,Yes,No,43,Yes,No,Fiber optic,No,Yes,No,No,Yes,Yes,Month-to-month,Yes,Mailed check,109.67,1458.53,2,2,188.92,68.54,3,No
CUST00114,Female,0,Yes,No,8,Yes,No,No,No,No,No,No,Yes,No,One year,Yes,Mailed check,32.6,7674.21,1,1,411.69,104.99,2,No
CUST00115,Male,0,Yes,No,58,Yes,No,Fiber optic,Yes,No,No,No internet service,No,No,One year,No,Credit card (automatic),99.78,8382.19,1,2,249.34,78.4,3,No
CUST00116,Female,0,No,No,26,No,No,Fiber optic,No internet service,No,No,Yes,No,Yes,Month-to-month,Yes,Electronic check,97.12,6661.31,3,0,122.72,59.32,3,Yes
CUST00117,Male,0,No,No,58,Yes,No,Fiber optic,No,No,Yes,No,No,Yes,Month-to-month,No,Electronic check,88.11,1457.46,3,1,307.57,153.07,5,No
CUST00118,Female,1,No,No,2,No,Yes,DSL,Yes,No internet service,No,Yes,Yes,No internet service,Month-to-month,No,Credit card (automatic),44.79,5238.54,2,0,467.12,18.76,4,No
CUST00119,Female,0,Yes,No,6,Yes,Yes,Fiber optic,No,Yes,No,No,Yes,No,Month-to-month,Yes,Bank transfer (automatic),25.15,2554.08,1,1,83.73,42.17,4,No
CUST00120,Male,0,Yes,Yes,15,Yes,Yes,Fiber optic,Yes,No,Yes,Yes,Yes,Yes,One year,Yes,Mailed check,98.27,5078.29,5,3,254.57,34.91,5,No
CUST00121,Female,0,Yes,Yes,48,Yes,Yes,No,No,No internet service,No,No internet service,No internet service,No,Month-to-month,Yes,Electronic check,76.0,1883.79,7,1,36.07,164.34,4,Yes
CUST00122,Male,0,Yes,No,31,Yes,No phone service,Fiber optic,No,Yes,No,No,Yes,No internet service,Month-to-month,No,Mailed check,82.78,1278.17,3,0,384.05,144.79,2,No
CUST00123,Female,0,No,No,43,Yes,No phone service,DSL,Yes,No,No,No,Yes,Yes,Month-to-month,Yes,Credit card (automatic),105.23,1773.77,1,3,438.31,136.47,5,No
CUST00124,Male,1,No,No,18,Yes,No phone service,Fiber optic,Yes,No internet service,Yes,No internet service,Yes,No,Month-to-month,Yes,Electronic check,33.21,8041.54,4,3,92.91,176.44,2,Yes
CUST00125,Male,0,No,No,2,Yes,No,DSL,Yes,No internet service,No,No,No internet service,Yes,One year,Yes,Credit card (automatic),40.63,568.99,3,1,71.18,30.79,2,No
CUST00126,Female,0,No,No,59,Yes,No,Fiber optic,Yes,No internet service,No,No internet service,No,Yes,Month-to-month,No,Credit card (automatic),62.09,362.16,2,0,17.49,83.81,1,No
CUST00127,Female,0,No,No,34,Yes,Yes,Fiber optic,No,Yes,No,No,Yes,No,Two year,Yes,Mailed check,55.39,1756.09,2,1,365.79,136.07,2,No
CUST00128,Male,1,No,No,28,Yes,No,Fiber optic,No internet service,No internet service,No,Yes,Yes,No,Month-to-month,Yes,Bank transfer (automatic),114.99,5125.63,3,1,21.99,126.03,2,Yes
CUST00129,Female,0,Yes,No,69,Yes,No,No,Yes,No internet service,No internet service,No,No internet service,No internet service,Month-to-month,Yes,Electronic check,51.81,847.94,3,2,485.63,35.32,2,No
CUST00130,Female,0,No,No,44,Yes,No,No,Yes,No,No internet service,No internet service,Yes,No,Month-to-month,Yes,Mailed check,109.94,4698.68,0,0,122.53,135.48,1,No
CUST00131,Female,0,No,No,26,Yes,No phone service,No,No,Yes,No internet service,Yes,No,Yes,Month-to-month,No,Bank transfer (automatic),73.21,6494.15,0,1,298.18,82.99,2,No
CUST00132,Male,0,No,No,68,Yes,No,DSL,No,No,Yes,No,No,No,One year,Yes,Bank transfer (automatic),29.62,4883.44,3,0,330.58,150.79,2,No
CUST00133,Male,0,Yes,No,34,No,No,Fiber optic,No,No,No,Yes,No,No,Two year,No,Credit card (automatic),87.29,6913.8,3,0,79.39,32.28,3,No
CUST00134,Male,0,Yes,No,18,Yes,No,No,No internet service,No internet service,Yes,No,No internet service,Yes,Month-to-month,Yes,Mailed check,94.75,4701.99,1,1,78.73,120.31,2,Yes
CUST00135,Male,0,Yes,No,16,Yes,Yes,Fiber optic,No,Yes,No,Yes,Yes,Yes,Month-to-month,No,Bank transfer (automatic),36.32,863.18,1,0,8.72,17.42,1,No
CUST00136,Male,0,No,No,34,Yes,No,DSL,Yes,Yes,No,No,No internet service,Yes,Two year,Yes,Bank transfer (automatic),61.96,6040.48,2,1,376.43,31.91,3,No
CUST00137,Male,1,Yes,Yes,29,Yes,No,No,Yes,No,No,No,No,Yes,One year,Yes,Credit card (automatic),34.83,2980.99,0,1,65.45,95.64,2,No
CUST00138,Male,0,No,Yes,47,Yes,No phone service,No,Yes,No,No,Yes,No internet service,No,Month-to-month,Yes,Mailed check,37.71,4703.79,1,0,151.89,42.23,2,No
CUST00139,Male,0,No,No,56,Yes,Yes,Fiber optic,No,No,No internet service,No,Yes,No,Month-to-month,Yes,Electronic check,88.75,8953.49,2,1,257.47,98.61,2,Yes
CUST00140,Male,0,Yes,No,16,No,Yes,DSL,No,No,No,No,Yes,Yes,One year,No,Electronic check,69.52,2508.46,1,1,381.75,128.92,2,No
CUST00141,Female,0,No,Yes,14,Yes,No phone service,DSL,Yes,No,No internet service,No internet service,Yes,Yes,One year,Yes,Electronic check,23.19,7399.08,0,1,136.73,118.27,5,No
CUST00142,Male,1,No,No,13,Yes,No,Fiber optic,No internet service,Yes,No internet service,Yes,No,Yes,One year,No,Bank transfer (automatic),113.46,5100.43,2,0,375.42,143.05,5,Yes
CUST00143,Female,0,Yes,No,13,No,Yes,Fiber optic,No internet service,Yes,No,Yes,Yes,No,Two year,Yes,Bank transfer (automatic),89.06,8245.35,4,0,187.08,52.48,1,Yes
CUST00144,Female,0,No,Yes,44,Yes,No,Fiber optic,No internet service,No,No,Yes,No internet service,Yes,Month-to-month,Yes,Credit card (automatic),25.3,8200.16,4,3,332.05,171.19,2,Yes
CUST00145,Female,0,Yes,No,37,Yes,Yes,DSL,Yes,Yes,Yes,Yes,No,Yes,Month-to-month,No,Credit card (automatic),92.03,6443.63,2,1,206.16,78.66,5,No
CUST00146,Male,0,Yes,No,62,Yes,No,DSL,Yes,No,Yes,No,No internet service,Yes,Month-to-month,Yes,Bank transfer (automatic),103.76,2775.42,1,2,442.07,21.67,4,No
CUST00147,Male,0,No,Yes,10,Yes,No,Fiber optic,Yes,No,No,No internet service,No,No,Month-to-month,Yes,Credit card (automatic),60.56,8562.52,5,2,164.27,133.11,5,No
